"justice","justiceName","dateNom","position","dateSwearingIn","seatID","homeRegistry","justiceReplaced","chiefAnnounce","chiefSworn","nomPM","nomPMParty","politicalPowerDateNom","PMSwearingIn","PMPartySwearingIn","politicalPowerSwearingIn","promotionDate","nomPMPromotion","nomPMPartyPromotion","politicalPowerPromotion","yearPromotion","dateSwearingInPromotion","replacementCJPromotion","ideologyScore","nomYearBirth","nomDateBirth","placeBirthGen","religionGeneral","religionSpecific","race","gender","yearDeath","dateDeath","ageDeath","yearDeparture","dateDeparture","ageDateDeparture","reasonDeparture","resignationParty","PMDeparture","PMPartyDeparture","politicalPowerRetirementAnnounce","positionAfterDeparture1","positionAfterDepartureParty1","positionAfterDeparture2","positionAfterDepartureParty2","positionAfterDeparture3","positionAfterDepartureParty3","positionAfterDeparture4","positionAfterDepartureParty4","childhoodLocationGeneral","childhoodLocationSpecific","childhoodSurrounds","economicStatus","occupationFather","politicalFather","occupationMother","politicalMother","occupationSpouse","politicalSpouse","numberMarriages","dateMarriage","numberChildren","numberDaughters","numberSons","secondaryEducationType","firstDegree","firstDegreeInstitution","firstDegreeStatus","firstDegreeYearStart","firstDegreeYearEnd","secondDegree","secondDegreeInstitution","secondDegreeStatus","secondDegreeYearStart","secondDegreeYearEnd","thirdDegree","thirdDegreeInstitution","thirdDegreeStatus","thirdDegreeYearStart","thirdDegreeYearEnd","nameLawSchool","lastYearLawSchool","academicHonoursMedal","academicHonoursFirstClass","academicHonoursOverseas","overseasStudy","overseasStudyLocation","firstGradDegree","firstGradDegreeInstitution","firstGradDegreeStatus","secondGradDegree","secondGradDegreeInstitution","secondGradDegreeStatus","thirdGradDegree","thirdGradDegreeInstitution","thirdGradDegreeStatus","lastYearAttendedGrad","postitionWhenNom","positionNomLocation","nomFromJudiciary","priorJudicialService","totalNumMonthsJudicialService","numMonthsStateCourtService","numMonthsFedCourtService","numMonthsAppCourtService","numMonthsTrialCourtService","PriorJudicialService1General","priorJudicialService1Location","priorJudicialService1Specific","priorJudicialService1StartDate","priorJudicialService1EndDate","numMonthsJudicialService1","priorJudicialService1FirstYear","priorJudicialService1LastYear","priorJudicialService1Party","PriorJudicialService2General","priorJudicialService2Location","priorJudicialService2Specific","priorJudicialService2StartDate","priorJudicialService2EndDate","numMonthsJudicialService2","priorJudicialService2FirstYear","priorJudicialService2LastYear","priorJudicialService2Party","PriorJudicialService3General","priorJudicialService3Location","priorJudicialService3Specific","priorJudicialService3FirstYear","priorJudicialService3LastYear","priorJudicialService3StartDate","priorJudicialService3EndDate","numMonthsJudicialService3","priorJudicialService3Party","barAdmission","barAdmissionYear","barAdmissionState","barPromotion","barPromotionYear","hcaAppearances","solicitor","solicitorFirstYear","solicitorLastYear","solicitorState","teaching","hcaAssociate","hcaAssociateYear","hcaAssociateJustice","otherAssociate","otherAssociateYear","govAppointmentType","govAppointmentParty","politicalPartyCth","politicalIdentification","Notes"
55,"JGleeson","2020-10-28","Puisne Justice","2021-03-01",6,"Sydney","Bell","Kiefel","Kiefel","Morrison (24.08.2018 - 23.05.2022)","Liberal","Coalition House/Not Coalition Senate","Morrison (24.08.2018 - 23.05.2022)","Liberal","Coalition House/Not Coalition Senate",NA,NA,NA,NA,NA,NA,NA,0.08,1966,"1966-03-06","New South Wales","Christian","Christian—Catholic","White","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New South Wales","Capital city","Urban (large/larger city)","Upper","Lawyer",NA,"Homemaker",NA,NA,NA,2,NA,1,1,0,"Private—single sex ","Bachelor of Arts","University of Sydney","Completed",1984,1986,"Bachelor of Laws","University of Sydney","Completed",NA,1989,NA,NA,NA,NA,NA,"University of Sydney",1989,"None recorded","None recorded","None recorded","Did not study overseas",NA,"Master of Laws","University of Sydney","Completed",NA,NA,NA,NA,NA,NA,2005,"Justice of Federal Court of Australia","New South Wales","Yes","Yes",82,0,82,82,0,"Federal court—appellate level (FCA)","Australia (federal actor)","Federal Court of Australia","2014-04-15","2021-02-28",82,"2014",2021,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",1991,"Northern Territory","Yes, SC/QC",2012,NA,"Yes",1989,2007,"Northern Territory","No","No",NA,NA,"Yes","1989/1990",NA,NA,NA,NA,"Initial bar admission was 1991, but she went back to work as a solicitor after 2 years, so we code her bar admission as 2007."
54,"Steward","2020-10-28","Puisne Justice","2020-12-01",3,"Melbourne","Nettle","Kiefel","Kiefel","Morrison (24.08.2018 - 23.05.2022)","Liberal","Coalition House/Not Coalition Senate","Morrison (24.08.2018 - 23.05.2022)","Liberal","Coalition House/Not Coalition Senate",NA,NA,NA,NA,NA,NA,NA,0.08,1969,"1969-01-09","Victoria",NA,NA,"White","Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Victoria","Capital city","Urban (large/larger city)","Upper-middle","Lawyer",NA,NA,NA,NA,NA,1,1994,2,1,1,"Private—single sex ","Bachelor of Laws","University of Melbourne","Completed",NA,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"University of Melbourne",1990,"None recorded","Law","None recorded","Did not study overseas",NA,"Master of Laws","University of Melbourne","Completed",NA,NA,NA,NA,NA,NA,2000,"Justice of Federal Court of Australia","Victoria","Yes","Yes",34,0,34,34,0,"Federal court—appellate level (FCA)","Australia (federal actor)","Federal Court of Australia","2018-02-01","2020-11-30",34,"2018",2020,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",1999,"Victoria","Yes, SC/QC",2009,NA,"Yes",1991,1999,"Victoria","No","No",NA,NA,"No",NA,"Commonwealth tribunal appointment","Liberal",NA,NA,"1. It is clear that Justice Steward went to school in Melbourne, but is unclear as to whether he lived there. In his ceremonial welcome to the court, Christian Porter notes how Steward went to Xavier College in Melbourne. Later, however, he recalls how, when he was 12, Steward went on a ""trip into Melbourne"", seemingly indicating that he was not residing their already."
53,"Edelman","2016-11-29","Puisne Justice","2017-01-30",5,"Brisbane","Kiefel","French","Kiefel","Turnbull (15.09.2015 - 24.08.2018)","Liberal","Coalition House/Not Coalition Senate","Turnbull (15.09.2015 - 24.08.2018)","Liberal","Coalition House/Not Coalition Senate",NA,NA,NA,NA,NA,NA,NA,0.38235294117647056,1974,"1974-01-09","Western Australia","Not Christian","Judaism","White","Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Western Australia","Capital city","Urban (large/larger city)","Middle","Professional, self-employed",NA,"Teacher",NA,"Academic",NA,1,20040801,2,1,1,"Private—single sex ","Bachelor of Economics","University of Western Australia","Completed",NA,1995,"Bachelor of Laws","University of Western Australia","Completed",NA,1996,"Bachelor of Commerce",7,"Completed",NA,1997,"University of Western Australia",1996,"Law","Law and non-law (multiple)","Rhodes","Studied overseas","UK","Doctor of Philosophy","Oxford","Completed",NA,NA,NA,NA,NA,NA,2001,"Justice of Federal Court of Australia","Western Australia","Yes","Yes",66,45,21,21,45,"State supreme court—appellate level","Western Australia","Supreme Court of Western Australia—Court of Appeals","2011-07-22","2015-04-19",45,"2011",2015,1,"Federal court—appellate level (FCA)","Australia (federal actor)","Federal Court of Australia","2015-04-20","2017-01-29",21,2015,2017,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",1998,"Western Australia","No",NA,"Yes—Infrequent (1-5 appearances)","Yes",1997,1998,"Western Australia","Yes—Fulltime academic","Yes",1997,"Toohey","No",NA,NA,NA,NA,NA,NA
52,"Gordon","2015-04-14","Puisne Justice","2015-06-09",1,"Melbourne","Hayne","French","French","Abbott (18.09.2013 - 15.09.2015)","Liberal","Coalition House/Not Coalition Senate","Abbott (18.09.2013 - 15.09.2015)","Liberal","Coalition House/Not Coalition Senate",NA,NA,NA,NA,NA,NA,NA,0.5,1964,"1964-11-19","Western Australia",NA,NA,"White","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Western Australia","Capital city","Urban (large/larger city)","Middle","Professional, employee",NA,"Teacher",NA,"Lawyer",NA,1,19950101,1,0,1,"Private—single sex ","Bachelor of Laws","University of Western Australia","Completed",NA,1986,"Bachelor of Jurisprudence","University of Western Australia","Completed",NA,1986,NA,NA,NA,NA,NA,"University of Western Australia",1986,NA,NA,NA,"Did not study overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Justice of Federal Court of Australia","Victoria","Yes","Yes",98,0,98,98,0,"Federal court—appellate level (FCA)","Australia (federal actor)","Federal Court of Australia","2007-04-20","2015-06-08",98,"2007",2015,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",1987,"Western Australia","Yes, SC/QC",2003,"Yes—Moderate frequency (6-15 appearances)","Yes",1987,1992,"Western Australia","Yes—Adjunct/casual academic","No",NA,NA,"No",NA,NA,NA,NA,NA,NA
51,"Nettle","2014-02-04","Puisne Justice","2015-02-03",3,"Melbourne","Crennan","French","French","Abbott (18.09.2013 - 15.09.2015)","Liberal","Coalition House/Not Coalition Senate","Abbott (18.09.2013 - 15.09.2015)","Liberal","Coalition House/Not Coalition Senate",NA,NA,NA,NA,NA,NA,NA,0.3076923076923077,1950,"1950-12-02","Western Australia",NA,NA,"White","Female",NA,NA,NA,2020,"2020-11-30",70,2,NA,"Morrison (24.08.2018 - 23.05.2022)","Liberal","Coalition House/Not Coalition Senate",NA,NA,NA,NA,NA,NA,NA,NA,"Victoria","Capital city","Urban (large/larger city)","Middle","Public service",NA,"Homemaker",NA,"Professional, employee",NA,1,19770226,3,2,1,"Private—coeducational","Bachelor of Economics","Australian National University","Completed",NA,NA,"Bachelor of Laws","University of Melbourne","Completed",NA,1975,NA,NA,NA,NA,NA,"University of Melbourne",1975,NA,"Law","Other","Studied overseas","UK","BCL","Oxford","Completed",NA,NA,NA,NA,NA,NA,1976,"Justice of state supreme court/court of appeals","Victoria","Yes","Yes",150,150,0,128,22,"State supreme court—trial level","Victoria","Supreme Court of Victoria—Trial Court Criminal Division","2002-07-30","2004-06-07",22,"2002",2004,2,"State supreme court—appellate level","Victoria","Supreme Court of Victoria—Court of Appeals","2004-06-07","2015-02-03",128,2004,2015,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",1982,"Victoria","Yes, SC/QC",1992,"Yes—Moderate frequency (6-15 appearances)","Yes",1977,1982,"Victoria","No","No",NA,NA,"No",NA,NA,NA,NA,NA,NA
50,"Keane","2012-11-20","Puisne Justice","2013-03-05",7,"Brisbane","Heydon","French","French","Gillard (24.06.2010 - 27.06.2013)","Labor","Minority Labour House/Not Labour Senate","Gillard (24.06.2010 - 27.06.2013)","Labor","Minority Labour House/Not Labour Senate",NA,NA,NA,NA,NA,NA,NA,0.2698412698412699,1952,"1952-10-26","Queensland","Christian","Christian—Brethren","White","Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Queensland ","Capital city","Urban (large/larger city)","Middle","Military",NA,NA,NA,"Professional, employee",NA,1,19741130,3,0,3,"Private—single sex ","Bachelor of Arts","University of Queensland","Completed",NA,1973,"Bachelor of Laws","University of Queensland","Completed",NA,1976,NA,NA,NA,NA,NA,"University of Queensland",1976,"Law","Law","Other","Studied overseas","UK","BCL","Oxford","Completed",NA,NA,NA,NA,NA,NA,1977,"Chief Justice of Federal Court of Australia","Queensland","Yes","Yes",96,61,35,96,0,"State supreme court—appellate level","Queensland","Supreme Court of Queensland—Court of Appeal","2005-02-21","2010-03-21",61,"2005",2010,2,"Federal court—appellate level (FCA)","Australia (federal actor)","Federal Court of Australia","2010-03-22","2013-02-28",35,2010,2013,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",1977,"Queensland","Yes, SC/QC",1988,"Yes—Frequent (more than 15 appearances)","Yes",1976,1977,"Queensland","Yes—Adjunct/casual academic","No",NA,NA,"No",NA,"State Solicitor-General","Labor",NA,NA,NA
49,"Gageler","2012-08-21","Puisne Justice","2012-10-09",2,"Sydney","Gummow","French","French","Gillard (24.06.2010 - 27.06.2013)","Labor","Minority Labour House/Not Labour Senate","Gillard (24.06.2010 - 27.06.2013)","Labor","Minority Labour House/Not Labour Senate",NA,NA,NA,NA,NA,NA,NA,0.833,1958,"1958-07-05","New South Wales","Christian","Christian—Anglican","White","Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New South Wales","Town","Rural","Middle","Blue collar",NA,"Blue collar",NA,"Teacher",NA,1,19830101,3,1,2,"Public ","Bachelor of Economics","Australian National University","Completed",1978,1980,"Bachelor of Laws","Australian National University","Completed",1978,1982,NA,NA,NA,NA,NA,"Australian National University",1982,NA,"Law",NA,"Studied overseas","USA","Master of Laws","Harvard","Completed",NA,NA,NA,NA,NA,NA,1987,"Commonwealth Solicitor General","Federal (Cth SG only)","No","No",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",1989,"New South Wales","Yes, SC/QC",2000,"Yes—Frequent (more than 15 appearances)","Yes",1983,1983,"Australian Capital Territory","Yes—Adjunct/casual academic","Yes",1983,"Mason","No",NA,"Commonwealth Solicitor-General","Labor",NA,NA,NA
48,"Bell","2008-12-15","Puisne Justice","2009-02-03",6,"Sydney","Kirby","French","French","Rudd 1 (03.12.2007 - 24.06.2010)","Labor","Labour House/Not Labour Senate","Rudd 1 (03.12.2007 - 24.06.2010)","Labor","Labour House/Not Labour Senate",NA,NA,NA,NA,NA,NA,NA,0.7672413793103448,1951,"1951-03-07","New South Wales",NA,NA,"White","Male",NA,NA,NA,2021,"2021-02-28",70,2,NA,"Morrison (24.08.2018 - 23.05.2022)","Liberal","Coalition House/Not Coalition Senate",NA,NA,NA,NA,NA,NA,NA,NA,"New South Wales","Capital city","Urban (large/larger city)","Middle","Military",NA,"Homemaker",NA,"Lawyer",NA,1,NA,0,0,0,"Private—single sex ","Bachelor of Laws","University of Sydney","Completed",NA,1976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"University of Sydney",1976,NA,NA,NA,"Did not study overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1977,"Justice of state supreme court/court of appeals","New South Wales","Yes","Yes",117,117,0,11,106,"State supreme court—trial level","New South Wales","Supreme Court of New South Wales—Common Law Division","1999-03-25","2008-02-01",106,"1999",2008,2,"State supreme court—appellate level","New South Wales","Supreme Court of New South Wales—Court of Criminal Appeal","2008-02-01","2008-12-19",11,66,2008,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",1984,"New South Wales","Yes, SC/QC",1997,"Yes—Infrequent (1-5 appearances)","Yes",1977,1984,"New South Wales","No","No",NA,NA,"No",NA,NA,NA,NA,NA,NA
47,"French","2008-07-30","Chief Justice","2008-09-01",5,"Perth","Gleeson, M","Gleeson","French","Rudd 1 (03.12.2007 - 24.06.2010)","Labor","Labour House/Not Labour Senate","Rudd 1 (03.12.2007 - 24.06.2010)","Labor","Labour House/Not Labour Senate",NA,NA,NA,NA,NA,NA,NA,0.613,1947,"1947-03-19","Western Australia","Not Christian",NA,"White","Female",NA,NA,NA,2017,"2017-01-29",69,2,NA,"Turnbull (15.09.2015 - 24.08.2018)","Liberal","Coalition House/Not Coalition Senate","Foreign judicial service",NA,"Academic (administrative, e.g., VC)",NA,NA,NA,NA,NA,"Western Australia","Capital city","Urban (large/larger city)","Upper-middle","Military",NA,"Homemaker",NA,"Lawyer",NA,1,19760604,3,0,3,"Private—single sex ","Bachelor of Science","University of Western Australia","Completed",NA,1968,"Bachelor of Laws","University of Western Australia","Completed",NA,1971,NA,NA,NA,NA,NA,"University of Western Australia",1971,NA,NA,NA,"Did not study overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1971,"Justice of Federal Court of Australia","Western Australia","Yes","Yes",272,0,272,272,0,"Federal court—appellate level (FCA)","Australia (federal actor)","Federal Court of Australia","1986-01-11","2008-08-31",272,"1986",2008,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",1972,"Western Australia","No",NA,"Yes—Infrequent (1-5 appearances)","Yes",1972,1983,"Western Australia","Yes—Adjunct/casual academic","No",NA,NA,"No",NA,NA,NA,"Liberal","Liberal",NA
46,"Kiefel","2007-08-20","Puisne Justice","2007-09-03",4,"Brisbane","Callinan","Gleeson","Gleeson","Howard (11.03.1996 - 3.12.2007)","Liberal","Coalition House/Coalition Senate","Howard (11.03.1996 - 3.12.2007)","Liberal","Coalition House/Coalition Senate","2016-11-29","Turnbull (15.09.2015 - 24.08.2018)","Liberal","Coalition House/Not Coalition Senate",2017,"2017-01-30","French",0.22794117647058826,1954,"1954-01-17","Queensland",NA,NA,"White","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Queensland ","Capital city","Urban (large/larger city)","Lower-middle","Professional, employee",NA,"Homemaker",NA,"Academic",NA,2,19870101,0,0,0,"Public ",NA,"Barristers Admission Board","Completed",NA,1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Barristers Admission Board",1975,NA,NA,NA,"Studied overseas","UK","Master of Laws","Cambridge","Completed",NA,NA,NA,NA,NA,NA,1984,"Justice of Federal Court of Australia","Queensland","Yes","Yes",171,16,155,155,16,"State supreme court—trial level","Queensland","Supreme Court of Queensland—Trial Division (Criminal)","1993-06-16","1994-10-16",16,"1993",1994,2,"Federal court—appellate level (FCA)","Australia (federal actor)","Federal Court of Australia","1994-10-17","2007-09-04",155,1994,2007,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",1975,"Queensland","Yes, SC/QC",1987,"Yes—Infrequent (1-5 appearances)","No",NA,NA,NA,"Yes—Adjunct/casual academic","No",NA,NA,"No",NA,"Commonwealth commission (major)","Liberal",NA,NA,NA
